epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,173.157,1.30853,0.73096,1.14161,0.9994,1,0.995,0.58074,1.47493,0.70184,1.2006,0.0011486,0.0011486,0.0011486
45,177.147,1.32081,0.73302,1.1623,0.99646,1,0.995,0.60913,1.43972,0.67885,1.17939,0.0011288,0.0011288,0.0011288
46,181.12,1.29398,0.71293,1.1136,0.99646,1,0.995,0.60913,1.43972,0.67885,1.17939,0.001109,0.001109,0.001109
47,185.152,1.37701,0.72554,1.14494,0.99669,1,0.995,0.59126,1.44202,0.67729,1.18156,0.0010892,0.0010892,0.0010892
48,189.097,1.31568,0.6873,1.1244,0.99669,1,0.995,0.59126,1.44202,0.67729,1.18156,0.0010694,0.0010694,0.0010694
49,193.181,1.28529,0.682,1.10486,0.9948,0.96552,0.98564,0.57834,1.45042,0.68804,1.2069,0.0010496,0.0010496,0.0010496
50,197.134,1.27596,0.67838,1.1253,0.9948,0.96552,0.98564,0.57834,1.45042,0.68804,1.2069,0.0010298,0.0010298,0.0010298
51,201.243,1.30155,0.69307,1.13832,1,0.97727,0.98586,0.57608,1.48236,0.69534,1.21971,0.00101,0.00101,0.00101
52,205.35,1.34334,0.71058,1.17692,1,0.97727,0.98586,0.57608,1.48236,0.69534,1.21971,0.0009902,0.0009902,0.0009902
53,209.365,1.27736,0.68738,1.1321,0.98117,0.98276,0.98826,0.57618,1.46726,0.6619,1.20549,0.0009704,0.0009704,0.0009704
54,213.248,1.29537,0.6985,1.16702,0.98117,0.98276,0.98826,0.57618,1.46726,0.6619,1.20549,0.0009506,0.0009506,0.0009506
55,219.328,1.32288,0.71108,1.10968,0.99832,1,0.995,0.58214,1.44908,0.64438,1.19351,0.0009308,0.0009308,0.0009308
56,223.325,1.27282,0.73118,1.10503,0.99832,1,0.995,0.58214,1.44908,0.64438,1.19351,0.000911,0.000911,0.000911
57,227.152,1.27979,0.69187,1.13614,0.99837,1,0.995,0.59236,1.43404,0.64657,1.17974,0.0008912,0.0008912,0.0008912
58,231.116,1.28584,0.67958,1.08732,0.99837,1,0.995,0.59236,1.43404,0.64657,1.17974,0.0008714,0.0008714,0.0008714
59,235.088,1.24754,0.67723,1.0862,0.99864,1,0.995,0.58094,1.48663,0.66437,1.23741,0.0008516,0.0008516,0.0008516
60,239.054,1.23988,0.65481,1.08622,0.99864,1,0.995,0.58094,1.48663,0.66437,1.23741,0.0008318,0.0008318,0.0008318
61,242.977,1.258,0.6823,1.10576,0.99838,1,0.995,0.57783,1.48942,0.66077,1.25952,0.000812,0.000812,0.000812
62,246.936,1.25149,0.67844,1.10279,0.99838,1,0.995,0.57783,1.48942,0.66077,1.25952,0.0007922,0.0007922,0.0007922
63,250.841,1.23098,0.66935,1.12385,0.9985,1,0.995,0.55989,1.4828,0.65011,1.26224,0.0007724,0.0007724,0.0007724
64,254.575,1.18345,0.693,1.11941,0.9985,1,0.995,0.55989,1.4828,0.65011,1.26224,0.0007526,0.0007526,0.0007526
65,258.557,1.22147,0.66914,1.12059,0.99866,1,0.995,0.57363,1.45468,0.63116,1.23924,0.0007328,0.0007328,0.0007328
